area;dificuldade;referencia_principal;tipo_questao;question_id
direito_civil;Nível 3 - Juiz de Direito;Art. 731 do CPC (Lei 13.105/2015);Peça Profissional;40_direito_civil_peca_profissional
direito_civil;Nível 3 - Subsunção e definição de responsabilidade civil (condomínio) com procedimento no JEC;"Art. 927 e Art. 186 do Código Civil; Art. 14 do Código de Defesa do Consumidor (responsabilidade objetiva do fornecedor/serviço, por analogia ao dever de segurança do condomínio); Art. 3º, § 1º, e Art. 51, I, da Lei 9.099/1995";Discursiva;40_direito_civil_questao_1
direito_civil;Nível 3 - Juiz de Direito;Art. 557 do Código Civil;Peça Profissional;40_direito_civil_questao_2
direito_civil;Nível 3 - Juiz de Direito;Arts. 1.767 a 1.783 do Código Civil (curatela) e arts. 747 a 763 do CPC (procedimento de curatela);Peça Profissional;40_direito_civil_questao_3
direito_civil;Nível 2 Analista - Ritos, prazos e defesa em execução;Art. 917 do CPC (embargos à execução) e Art. 476 do Código Civil (exceção do contrato não cumprido);Discursiva;40_direito_civil_questao_4
direito_constitucional;Nível 4 - Ministro (STF/STJ);Art. 102, I, a, da Constituição Federal de 1988 (controle concentrado de constitucionalidade);Peça Profissional;40_direito_constitucional_peca_profissional
direito_administrativo;Nível 3 - Juiz de Direito;Art. 29-A, § 2º, da Constituição Federal (regime de repasse dos duodécimos) e Art. 37, caput, da Constituição Federal;Peça Profissional;40_direito_constitucional_questao_1
direito_tributario;Nível 3 - Juiz de Direito;Art. 22, VI, da Constituição Federal (competência privativa da União para emitir moeda);Questão Discursiva;40_direito_constitucional_questao_2
direito_constitucional;Nível 3 - Juiz de Direito;Art. 102, I, a, da Constituição Federal (controle concentrado de constitucionalidade) e Art. 37, caput, da Constituição Federal (princípios da Administração Pública);Peça Profissional;40_direito_constitucional_questao_3
direito_tributario;Nível 2 - Analista;Art. 195, § 12, da Constituição Federal (contribuição para a seguridade social limitada a 1% do benefício assistencial);Questão Discursiva;40_direito_constitucional_questao_4
